State,Interstate,Intrastate,Year,Month,,
Western Australia,120,858,2022,December,,
Tasmania,87,119,2022,December,,
Northern Territory,229,221,2022,December,,
Australian Capital Territory,207,221,2022,December,,
New South Wales,1085,2287,2023,December,,
Victoria,704,1628,2023,December,,
Queensland,577,1562,2023,December,,
South Australia,189,447,2023,December,,
Western Australia,598,812,2023,December,,
Tasmania,129,174,2023,December,,
Northern Territory,476,509,2023,December,,
Australian Capital Territory,224,298,2023,December,,
