Year,Month,Number,State
2023,April,2531,Perth
2023,May,3082,Perth
2023,June,2870,Perth
2023,July,2775,Perth
2023,August,3158,Perth
2023,September,2749,Perth
2023,October,2822,Perth
2023,November,3325,Perth
2023,December,3039,Perth
2024,January,2633,Perth
2024,February,2869,Perth
2024,March,2948,Perth
2024,April,2888,Perth
2024,May,3073,Perth
2024,June,2808,Perth
2024,July,3058,Perth
2020,January,7405,Sydney
2020,February,7641,Sydney
2020,March,8084,Sydney
2020,April,4836,Sydney
2020,May,5280,Sydney
2020,June,6425,Sydney
2020,July,6505,Sydney
2020,August,6537,Sydney
2020,September,7219,Sydney
2020,October,7273,Sydney
2020,November,7937,Sydney
2020,December,9286,Sydney
2021,January,6540,Sydney
2021,February,6915,Sydney
2021,March,8808,Sydney
2021,April,7314,Sydney
2021,May,7854,Sydney
2021,June,8082,Sydney
2021,July,7477,Sydney
2021,August,8399,Sydney
2021,September,8654,Sydney
2021,October,8270,Sydney
2021,November,9770,Sydney
2021,December,8746,Sydney
2022,January,7475,Sydney
2022,February,8387,Sydney
2022,March,8040,Sydney
2022,April,6267,Sydney
2022,May,6678,Sydney
2022,June,6013,Sydney
2022,July,6120,Sydney
2022,August,7063,Sydney
2022,September,6453,Sydney
2022,October,6647,Sydney
2022,November,7156,Sydney
2022,December,6560,Sydney
2023,January,5429,Sydney
2023,February,5715,Sydney
2023,March,6692,Sydney
2023,April,5272,Sydney
2023,May,6971,Sydney
2023,June,6411,Sydney
2023,July,6323,Sydney
2023,August,6992,Sydney
2023,September,5754,Sydney
2023,October,6166,Sydney
2023,November,6837,Sydney
2023,December,6830,Sydney
2024,January,5509,Sydney
2024,February,5421,Sydney
2024,March,5405,Sydney
2024,April,5114,Sydney
2024,May,5900,Sydney
2024,June,5310,Sydney
2024,July,5997,Sydney
